http://www.tri-cityherald.com/news/local/article153344574.html,data/2017-05-30T18:36:08Z,Autocode-Test:Breach:Misuse:PHIDBR2018:,Robert-Topper,2017-05-30T18_36_08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://newarkadvertiser.co.uk/news/2017/05/26/memory-stick-led-to-stolen-computer,data/2017-05-30T18:52:36Z,Autocode-Test:Breach:Physical:,swidup,2017-05-30T18_52_36Z,,Breach,,Breach:Error,,Breach:Error:PHIDBR2018:,,Breach:Hacking,,Breach:Hacking:Malware,,Breach:Malware,,Breach:Misuse,,Outage,,Malware,,Hacking,,DOS,,Breach:Physical,,Breach:pinboardimport:,,Breach:Social
http://www.southportvisiter.co.uk/news/southport-west-lancs/dad-accuses-police-leaking-information-11593222,data/2016-07-11T23:01:29Z,Breach:,Robert-Topper,2016-07-11T23_01_29Z,,2016-06-21T23_32_42Z,,2017-06-18T06_46_06Z,,2017-06-08T22_55_41Z,,2017-06-01T21_52_22Z,,2015-06-03T17_23_15Z,,2017-05-09T23_29_46Z,,2017-06-06T18_49_43Z,,2014-06-20T14_44_46Z,,2016-01-18T18_49_08Z,,2014-09-22T23_21_45Z,,2015-12-15T01_03_36Z,,2017-06-10T04_41_38Z,,2014-06-19T23_14_50Z,,2017-03-06T21_29_30Z
https://www.databreaches.net/sour-grapes-santikos-sues-former-san-antonio-vendor-in-phone-hacking-case/,data/2016-06-21T23:33:02Z,Breach:,roniangel,2016-06-21T23_33_02Z,,2016-06-13T23_10_27Z,,2017-06-16T23_54_56Z,,2017-06-06T18_56_20Z,,2017-06-01T14_56_20Z,,2015-05-28T16_51_22Z,,2017-05-05T18_12_25Z,,2017-06-06T18_44_56Z,,2014-06-06T16_20_17Z,,2014-06-04T13_48_55Z,,2014-09-10T18_27_09Z,,2015-12-11T23_51_01Z,,2017-06-08T21_53_12Z,,2014-06-19T23_14_50Z,,2017-03-06T21_28_52Z
https://www.databreaches.net/wvsu-email-accounts-compromised-earlier-this-year/,data/2016-06-21T23:32:42Z,Breach:,dhylender,2016-06-21T23_32_42Z,,2016-05-31T16_48_28Z,,2017-06-15T22_23_27Z,,2017-06-05T18_59_51Z,,2017-05-31T04_12_14Z,,2014-12-13T03_11_31Z,,2017-05-01T22_53_26Z,,2017-06-05T22_35_14Z,,2014-06-06T16_19_38Z,,,,2014-07-25T14_54_29Z,,2015-12-11T22_47_21Z,,2017-06-07T22_49_24Z,,2014-06-19T23_14_49Z,,2017-03-06T21_14_59Z
http://www.chicagotribune.com/news/local/breaking/ct-officials-investigate-breach-of-retirement-accounts-20160610-story.html,data/2016-06-13T23:10:27Z,Breach:,swidup,2016-06-13T23_10_27Z,,2016-05-16T16_36_01Z,,2017-06-15T21_26_54Z,,2017-06-05T18_49_34Z,,2017-05-30T18_57_06Z,,2014-12-11T21_32_07Z,,2017-05-01T22_52_55Z,,2017-06-02T00_06_01Z,,2014-06-06T16_19_18Z,,,,2014-07-18T01_13_10Z,,2015-12-10T16_17_05Z,,2017-06-07T22_48_03Z,,2014-06-19T23_14_49Z,,2017-03-01T18_31_36Z
http://www.techweekeurope.co.uk/workspace/philippines-bank-targeted-by-swift-hacking-group-192984,data/2016-05-31T16:48:28Z,Breach:,ama0990,2016-05-31T16_48_28Z,,2016-05-15T21_57_39Z,,2017-06-14T22_09_40Z,,2017-06-01T21_19_07Z,,2017-05-30T18_55_57Z,,2014-08-21T15_38_21Z,,2017-04-28T21_28_53Z,,2017-06-01T23_59_37Z,,2014-05-28T17_20_36Z,,,,2014-04-11T15_11_49Z,,2015-12-09T16_43_13Z,,2017-06-07T22_46_55Z,,2014-06-19T23_12_51Z,,2017-03-01T18_15_44Z
http://hothardware.com/news/researchers-leak-personal-info-70000-okcupid-profiles,data/2016-05-16T16:36:01Z,Breach:,dhylender,2016-05-16T16_36_01Z,,2016-05-13T21_13_35Z,,2017-06-14T17_18_13Z,,2017-05-31T04_09_43Z,,2017-05-30T18_51_29Z,,,,2017-04-21T22_11_45Z,,2017-06-01T23_43_34Z,,2014-05-03T05_09_56Z,,,,2014-04-11T15_11_23Z,,2015-12-09T00_37_24Z,,2017-06-07T21_13_59Z,,2014-06-19T23_12_50Z,,2017-02-28T17_36_46Z
https://oag.ca.gov/system/files/VFA%20Fraud%20Case%20Individual%20Notification%20Letter%20CA%20%284-20-16%29_0.pdf,data/2016-05-15T21:57:39Z,Breach:,dhylender,2016-05-15T21_57_39Z,,2016-05-12T04_45_13Z,,2017-06-12T23_27_18Z,,2017-05-31T03_39_54Z,,2017-05-19T20_12_49Z,,,,2017-03-06T21_16_30Z,,2017-06-01T21_53_23Z,,2014-05-03T05_09_27Z,,,,2014-03-18T02_47_00Z,,2015-12-01T16_57_57Z,,2017-06-05T23_47_23Z,,2014-06-19T23_12_49Z,,2017-02-28T17_29_49Z
http://www.databreaches.net/double-whammy-avention-investigating-two-data-breaches-involving-employee-info/,data/2016-05-13T21:13:35Z,Breach:,swidup,2016-05-13T21_13_35Z,,2016-05-08T21_22_19Z,,2017-06-07T23_05_49Z,,2017-05-13T05_46_10Z,,2017-05-13T05_56_45Z,,,,2017-03-03T00_04_48Z,,2017-06-01T21_40_43Z,,2014-05-03T05_09_00Z,,,,2014-03-13T00_10_10Z,,2015-11-18T03_53_06Z,,2017-06-05T23_46_23Z,,2014-06-19T23_12_49Z,,2017-02-28T16_57_29Z
http://www.databreaches.net/ca-law-firm-considers-launching-class-action-suit-against-algonquin-college-over-privacy-breach/,data/2016-05-12T04:45:13Z,Breach:,ama0990,2016-05-12T04_45_13Z,,2016-05-06T19_03_19Z,,2017-06-07T22_30_47Z,,2017-05-12T17_28_05Z,,2017-05-10T23_46_24Z,,,,2017-02-09T19_44_05Z,,2017-06-01T15_17_44Z,,2014-05-03T05_08_37Z,,,,2014-02-18T18_05_50Z,,2015-11-18T03_52_40Z,,2017-06-05T22_26_51Z,,2014-06-19T23_12_48Z,,2017-02-24T23_12_34Z
http://www.databreaches.net/northwestern-u-notifies-employees-after-breach-involving-w-2-express/,data/2016-05-08T21:22:19Z,Breach:,kjessen,2016-05-08T21_22_19Z,,2016-05-04T23_22_13Z,,2017-06-01T21_13_35Z,,2017-05-09T03_30_30Z,,2017-05-10T00_04_55Z,,,,2017-01-23T21_18_20Z,,2017-05-13T05_52_09Z,,2014-04-15T21_44_20Z,,,,2014-02-07T18_14_12Z,,2015-11-18T03_51_32Z,,2017-06-05T18_55_01Z,,2014-06-19T23_12_48Z,,2017-02-24T22_54_30Z
http://www.databreaches.net/kroger-notifies-employees-of-w-2-breach-involving-equifax-service/,data/2016-05-06T19:03:19Z,Breach:,gdbassett,2016-05-06T19_03_19Z,,2016-04-26T17_39_18Z,,2017-06-01T02_36_22Z,,2017-05-09T03_23_29Z,,2017-05-09T04_30_04Z,,,,2017-01-23T20_20_34Z,,2017-05-13T05_50_28Z,,2014-04-11T14_49_23Z,,,,2014-02-07T15_19_29Z,,2015-11-18T03_49_32Z,,2017-06-01T23_36_33Z,,2014-06-19T23_12_48Z,,2017-02-24T19_06_39Z
http://www.databreaches.net/was-an-alpha-payroll-services-employee-cruelly-fired/,data/2016-05-04T23:22:13Z,Breach:,Robert-Topper,2016-05-04T23_22_13Z,,2016-04-26T17_38_16Z,,2017-05-31T03_35_42Z,,2017-05-05T20_30_29Z,,2017-05-09T03_12_46Z,,,,2017-01-23T17_40_29Z,,2017-05-09T23_27_57Z,,2014-02-21T16_53_51Z,,,,2014-02-07T04_45_36Z,,2015-10-16T14_52_56Z,,2017-06-01T23_36_07Z,,2014-06-19T23_12_47Z,,2017-02-23T19_34_10Z
http://www.deseretnews.com/article/865652932/doTERRA-letter-informs-customers-of-possible-data-breach.html?pg=all,data/2016-04-26T17:39:18Z,Breach:,swidup,2016-04-26T17_39_18Z,,2016-04-16T22_41_58Z,,2017-05-11T18_15_33Z,,2017-05-02T02_34_55Z,,2017-05-04T20_53_35Z,,,,2017-01-17T05_31_46Z,,2017-05-09T15_19_25Z,,2014-02-21T16_11_11Z,,,,2014-02-07T04_44_22Z,,2015-10-16T14_52_19Z,,2017-05-01T21_48_01Z,,2014-06-19T23_12_46Z,,2017-02-23T05_57_33Z
http://www.nme.com/news/spotify/93219,data/2016-04-26T17:38:16Z,Breach:,ama0990,2016-04-26T17_38_16Z,,2016-04-15T23_29_17Z,,2017-05-10T00_03_11Z,,2017-04-12T04_26_13Z,,2017-05-02T19_24_37Z,,,,2017-01-16T19_11_53Z,,2017-05-09T03_21_51Z,,2014-02-04T19_53_53Z,,,,2014-02-06T21_19_46Z,,2015-10-03T04_20_47Z,,2017-05-01T21_47_25Z,,2014-06-19T23_12_46Z,,2017-02-23T05_36_25Z
http://www.databreaches.net/ri-abc6-personnel-record-breach-leads-to-state-police-investigation-4-fired-and-3-suspended/,data/2016-04-16T22:41:58Z,Breach:,Robert-Topper,2016-04-16T22_41_58Z,,2016-04-14T03_00_51Z,,2017-05-09T15_20_20Z,,2017-03-27T20_40_10Z,,2017-05-01T21_50_21Z,,,,2017-01-16T17_42_39Z,,2017-04-28T22_20_39Z,,2014-01-28T18_20_30Z,,,,,,2015-07-08T17_21_14Z,,2017-04-28T22_34_17Z,,2014-06-19T23_12_46Z,,2017-02-15T17_14_52Z
http://www.databreaches.net/ie-personal-details-of-almost-2000-civil-servants-incorrectly-leaked-pseu-conference/,data/2016-04-15T23:29:17Z,Breach:,Spitler,2016-04-15T23_29_17Z,,2016-03-30T23_26_31Z,,2017-05-09T03_11_49Z,,2017-03-27T18_21_11Z,,2017-05-01T18_25_39Z,,,,2017-01-16T17_25_19Z,,2017-04-28T22_16_59Z,,,,,,,,2015-06-19T16_57_06Z,,2017-04-28T21_20_48Z,,2014-06-19T23_12_46Z,,2017-02-12T21_44_50Z
http://www.databreaches.net/another-greenshades-client-reports-tax-filing-problems/,data/2016-04-14T03:00:51Z,Breach:,dhylender,2016-04-14T03_00_51Z,,2016-03-23T21_09_49Z,,2017-05-01T23_10_40Z,,2017-03-27T17_04_13Z,,2017-04-19T17_57_39Z,,,,2017-01-06T23_00_47Z,,2017-04-28T00_19_56Z,,,,,,,,2015-05-26T18_43_20Z,,2017-04-21T22_18_09Z,,2014-06-19T23_12_45Z,,2017-02-12T04_53_12Z
http://www.orlandosentinel.com/news/breaking-news/os-kissimmee-man-sold-godiva-identities-20160329-story.html,data/2016-03-30T23:26:31Z,Breach:,Robert-Topper,2016-03-30T23_26_31Z,,2016-03-16T23_32_53Z,,2017-05-01T17_48_38Z,,2017-03-14T23_43_58Z,,2017-04-12T21_33_49Z,,,,2017-01-06T19_55_08Z,,2017-04-21T22_15_59Z,,,,,,,,2015-05-11T16_04_42Z,,2017-04-21T22_15_37Z,,2014-06-19T23_12_45Z,,2017-02-12T04_49_53Z
https://www.businessnews.com.au/article/Financial-firm-stifled-on-client-data,data/2016-03-23T21:09:49Z,Breach:,Spitler,2016-03-23T21_09_49Z,,2016-03-12T02_07_46Z,,2017-04-28T22_56_58Z,,2017-03-14T16_16_42Z,,2017-04-10T18_33_22Z,,,,2016-12-28T17_21_31Z,,2017-04-12T03_47_45Z,,,,,,,,2015-05-04T17_42_50Z,,2017-04-12T23_08_48Z,,2014-06-19T23_12_45Z,,2017-02-09T19_12_48Z
http://www.infosecurity-magazine.com/news/fbi-raids-former-palm-beach-deputy/,data/2016-03-16T23:32:53Z,Breach:,ama0990,2016-03-16T23_32_53Z,,2016-03-07T18_09_18Z,,2017-04-28T22_32_54Z,,2017-03-10T04_50_30Z,,2017-04-10T17_36_33Z,,,,2016-12-12T22_51_51Z,,2017-04-12T03_25_36Z,,,,,,,,2015-03-23T18_58_17Z,,2017-04-12T23_07_43Z,,2014-06-19T23_12_44Z,,2017-02-09T19_00_34Z
http://www.databreaches.net/hawkingtech-com-compromised-again/,data/2016-03-12T02:07:46Z,Breach:,swidup,2016-03-12T02_07_46Z,,2016-03-07T18_05_30Z,,2017-04-28T22_15_11Z,,2017-03-10T04_48_39Z,,2017-04-07T22_58_25Z,,,,2016-12-09T01_09_48Z,,2017-04-10T20_01_46Z,,,,,,,,2015-03-06T17_33_56Z,,2017-04-12T14_58_10Z,,2014-06-19T23_12_44Z,,2017-02-09T18_58_13Z
http://www.databreaches.net/california-man-hacked-cmu-students-account-prosecutors-say/,data/2016-03-07T18:09:18Z,Breach:,Robert-Topper,2016-03-07T18_09_18Z,,2016-03-04T04_20_05Z,,2017-04-21T22_09_44Z,,2017-03-10T04_48_08Z,,2017-04-07T22_24_50Z,,,,2016-12-08T01_03_49Z,,2017-04-07T21_54_28Z,,,,,,,,2014-11-21T21_41_56Z,,2017-04-12T03_51_27Z,,2014-06-19T23_12_43Z,,2017-02-09T18_57_05Z
http://www.databreaches.net/weeks-after-their-details-were-posted-online-miami-dade-police-first-notified-of-breach/,data/2016-03-07T18:05:30Z,Breach:,dhylender,2016-03-07T18_05_30Z,,2016-03-03T20_54_02Z,,2017-04-12T03_23_20Z,,2017-03-10T04_46_17Z,,2017-04-07T17_14_48Z,,,,2016-12-07T23_38_25Z,,2017-04-07T21_54_03Z,,,,,,,,2014-11-17T19_55_11Z,,2017-04-10T19_36_57Z,,2014-06-19T23_12_43Z,,2017-02-09T18_56_24Z
http://www.databreaches.net/pharm-olam-notifies-employees-of-w-2-information-breach/,data/2016-03-04T04:20:05Z,Breach:,Robert-Topper,2016-03-04T04_20_05Z,,2016-02-26T17_30_00Z,,2017-04-10T20_03_45Z,,2017-03-06T21_26_39Z,,2017-04-07T01_13_25Z,,,,2016-12-07T23_32_49Z,,2017-04-07T21_39_30Z,,,,,,,,2014-11-17T17_32_14Z,,2017-04-10T18_30_10Z,,2014-06-19T23_12_43Z,,2017-02-09T18_54_59Z
http://www.pekintimes.com/article/20160302/NEWS/160309852,data/2016-03-03T20:54:02Z,Breach:,Spitler,2016-03-03T20_54_02Z,,2016-02-14T09_39_39Z,,2017-04-07T01_23_54Z,,2017-03-01T16_07_31Z,,2017-04-03T22_03_06Z,,,,2016-12-07T21_53_10Z,,2017-04-07T00_52_22Z,,,,,,,,2014-11-07T15_40_37Z,,2017-04-09T05_02_33Z,,2014-06-19T23_12_43Z,,2017-02-09T18_54_13Z
http://www.databreaches.net/uk-cool-components-email-database-taken-in-apparent-data-breach/,data/2016-02-26T17:30:00Z,Breach:,ama0990,2016-02-26T17_30_00Z,,2016-02-09T18_49_08Z,,2017-04-07T01_05_24Z,,2017-02-28T16_44_06Z,,2017-04-03T18_28_19Z,,,,2016-11-22T22_08_04Z,,2017-04-03T23_40_03Z,,,,,,,,2014-11-07T15_39_49Z,,2017-04-07T21_04_58Z,,2014-06-19T23_12_41Z,,2017-02-09T18_52_40Z
http://www.databreaches.net/aide-to-stephen-mcneil-nova-scotia-premier-broke-privacy-laws-report/,data/2016-02-14T09:39:39Z,Breach:,swidup,2016-02-14T09_39_39Z,,2016-02-09T18_04_22Z,,2017-04-07T01_04_45Z,,2017-02-23T19_17_18Z,,2017-04-03T18_25_37Z,,,,2016-11-14T04_47_58Z,,2017-04-03T22_08_14Z,,,,,,,,2014-11-07T15_39_23Z,,2017-04-07T21_03_56Z,,2014-06-19T23_12_41Z,,2017-02-09T18_48_46Z
http://www.databreaches.net/mo-investigation-continues-into-possible-camden-county-it-breach/,data/2016-02-09T18:49:08Z,Breach:,ama0990,2016-02-09T18_49_08Z,,2016-02-05T18_30_35Z,,2017-04-07T01_02_08Z,,2017-02-16T22_27_03Z,,2017-03-27T20_40_29Z,,,,2016-11-10T18_36_30Z,,2017-04-03T18_27_16Z,,,,,,,,2014-10-31T15_58_09Z,,2017-04-07T01_22_29Z,,2014-06-19T23_12_41Z,,2017-02-09T18_37_17Z
